be	być
come	przychodzić
do	robić
eat	jeść
get	dostawać
go	iść
have	mieć
hear	słyszeć
house	dom
know	wiedzieć
look	patrzeć
love	kochać
make	robić
say	mówić
see	widzieć
sleep	spać
stop	zatrzymać
tell	powiedzieć
think	myśleć
want	chcieć
