alive	żywy
break	przerwa / złamać
control	kontrola
danger	niebezpieczeństwo
director	dyrektor
emotion	emocja
escape	ucieczka
execution	egzekucja
future	przyszłość
guard	strażnik
important	ważny
individual	osoba / jednostka
meeting	spotkanie
memory	pamięć
radioactive	radioaktywny
reason	powód
robot	robot
scientist	naukowiec
surface	powierzchnia
system	system
